[ERROR] Error en linea 2: 1002,Producto_2,Verduras,2026-07-18,Marca_2,abc,89
[ERROR] Linea 5: precio invalido (-50)
[ERROR] Linea 7: campo vacio detectado
[DUPLICADO] Linea 9: duplicado - 1001
[ERROR] Linea 10: precio invalido (-50)
[ERROR] Linea 11: fecha invalida (2026/99/99)
[ERROR] Linea 12: fecha invalida (2026/99/99)
[ERROR] Linea 13: stock invalido (-10)
[DUPLICADO] Linea 14: duplicado - 1001
[ERROR] Error en linea 15: 1015,Producto_15,Verduras,2026-02-04,Marca_15,16,xyz
[ERROR] Linea 16: stock invalido (-10)
[ERROR] Error en linea 17: 1017,Producto_17,Abarrotes,2026-08-21,Marca_17,abc,25
[ERROR] Linea 18: stock invalido (-10)
[ERROR] Linea 19: fecha invalida (2026/99/99)
[ERROR] Linea 22: fecha invalida (2026/99/99)
[ERROR] Linea 23: precio invalido (-50)
[ERROR] Error en linea 25: 1025,Producto_25,Bebidas,2026-08-25,Marca_25,69,xyz
[ERROR] Linea 26: precio invalido (-50)
[ERROR] Error en linea 27: 1027,Producto_27,Abarrotes,2026-03-21,Marca_27,82,xyz
[ERROR] Linea 28: campo vacio detectado
[ERROR] Error en linea 29: 1029,Producto_29,Snacks,2026-04-20,Marca_29,abc,56
[ERROR] Linea 30: precio invalido (-50)
[ERROR] Linea 31: fecha invalida (2026/99/99)
[ERROR] Error en linea 32: 1032,Producto_32,Snacks,2026-09-05,Marca_32,abc,83
[ERROR] Error en linea 33: 1033,Producto_33,Abarrotes,2026-03-02,Marca_33,121,xyz
[ERROR] Linea 35: precio invalido (-50)
[ERROR] Linea 36: precio invalido (-50)
[ERROR] Error en linea 37: 1037,Producto_37,Frutas,2026-11-15,Marca_37,42,xyz
[ERROR] Linea 38: campo vacio detectado
[ERROR] Error en linea 39: 1039,Producto_39,Verduras,2026-12-04,Marca_39,134,xyz
[ERROR] Linea 40: campo vacio detectado
[ERROR] Linea 42: stock invalido (-10)
[ERROR] Linea 43: stock invalido (-10)
[ERROR] Error en linea 45: 1045,Producto_45,Bebidas,2026-07-22,Marca_45,93,xyz
[ERROR] Linea 46: precio invalido (-50)
[ERROR] Linea 47: campo vacio detectado
[ERROR] Linea 48: precio invalido (-50)
[ERROR] Linea 49: stock invalido (-10)
[ERROR] Linea 50: stock invalido (-10)
[ERROR] Error en linea 51: 1051,Producto_51,Verduras,2026-04-18,Marca_51,abc,17
[DUPLICADO] Linea 52: duplicado - 1001
[ERROR] Linea 53: fecha invalida (2026/99/99)
[ERROR] Error en linea 54: 1054,Producto_54,Lacteos,2026-02-26,Marca_54,abc,7
[ERROR] Linea 55: stock invalido (-10)
[ERROR] Linea 56: precio invalido (-50)
[ERROR] Linea 57: fecha invalida (2026/99/99)
[ERROR] Linea 59: campo vacio detectado
[ERROR] Linea 60: fecha invalida (2026/99/99)
[ERROR] Error en linea 62: 1062,Producto_62,Abarrotes,2026-04-18,Marca_62,120,xyz
[ERROR] Error en linea 63: 1063,Producto_63,Abarrotes,2026-05-02,Marca_63,179,xyz
[ERROR] Error en linea 64: 1064,Producto_64,Verduras,2026-07-18,Marca_64,abc,65
[ERROR] Linea 65: precio invalido (-50)
[ERROR] Error en linea 66: 1066,Producto_66,Frutas,2026-11-26,Marca_66,abc,27
[ERROR] Linea 69: fecha invalida (2026/99/99)
[DUPLICADO] Linea 70: duplicado - 1001
[ERROR] Linea 71: precio invalido (-50)
[ERROR] Error en linea 72: 1072,Producto_72,Frutas,2026-01-10,Marca_72,abc,4
[DUPLICADO] Linea 73: duplicado - 1001
[ERROR] Linea 75: precio invalido (-50)
[ERROR] Linea 76: precio invalido (-50)
[ERROR] Linea 77: precio invalido (-50)
