codigoBarras,nombre,categoria,fechaVencimiento,marca,precio,stock
1001,Producto_1,Frutas,2026-06-16,Marca_1,88,60
1002,Producto_2,Verduras,2026-07-18,Marca_2,abc,89
1003,Producto_3,Abarrotes,2026-05-19,Marca_3,35,100
1004,Producto_4,Abarrotes,2026-11-07,Marca_4,130,94
1005,Producto_5,Snacks,2026-09-27,Marca_5,-50,3
1006,Producto_6,Frutas,2026-05-07,Marca_6,81,8
1007,,Abarrotes,2026-01-09,Marca_7,119,89
1008,Producto_8,Lacteos,2026-10-02,Marca_8,93,32
1001,Producto_9,Snacks,2026-08-28,Marca_9,85,45
1010,Producto_10,Snacks,2026-01-22,Marca_10,-50,45
1011,Producto_11,Snacks,2026/99/99,Marca_11,107,6
1012,Producto_12,Snacks,2026/99/99,Marca_12,57,74
1013,Producto_13,Bebidas,2026-08-14,Marca_13,15,-10
1001,Producto_14,Lacteos,2026-02-04,Marca_14,162,66
1015,Producto_15,Verduras,2026-02-04,Marca_15,16,xyz
1016,Producto_16,Snacks,2026-01-13,Marca_16,183,-10
1017,Producto_17,Abarrotes,2026-08-21,Marca_17,abc,25
1018,Producto_18,Frutas,2026-06-09,Marca_18,157,-10
1019,Producto_19,Frutas,2026/99/99,Marca_19,197,80
1020,Producto_20,Lacteos,2026-10-16,Marca_20,124,41
1021,Producto_21,Abarrotes,2026-11-25,Marca_21,148,13
1022,Producto_22,Bebidas,2026/99/99,Marca_22,63,98
1023,Producto_23,Bebidas,2026-06-08,Marca_23,-50,10
1024,Producto_24,Frutas,2026-03-05,Marca_24,181,4
1025,Producto_25,Bebidas,2026-08-25,Marca_25,69,xyz
1026,Producto_26,Verduras,2026-10-07,Marca_26,-50,70
1027,Producto_27,Abarrotes,2026-03-21,Marca_27,82,xyz
1028,,Verduras,2026-09-28,Marca_28,168,29
1029,Producto_29,Snacks,2026-04-20,Marca_29,abc,56
1030,Producto_30,Abarrotes,2026-10-10,Marca_30,-50,6
1031,Producto_31,Bebidas,2026/99/99,Marca_31,136,98
1032,Producto_32,Snacks,2026-09-05,Marca_32,abc,83
1033,Producto_33,Abarrotes,2026-03-02,Marca_33,121,xyz
1034,Producto_34,Snacks,2026-12-01,Marca_34,116,78
1035,Producto_35,Abarrotes,2026-11-06,Marca_35,-50,20
1036,Producto_36,Verduras,2026-05-13,Marca_36,-50,69
1037,Producto_37,Frutas,2026-11-15,Marca_37,42,xyz
1038,,Verduras,2026-07-19,Marca_38,128,7
1039,Producto_39,Verduras,2026-12-04,Marca_39,134,xyz
1040,,Frutas,2026-09-08,Marca_40,15,83
1041,Producto_41,Verduras,2026-01-12,Marca_41,49,68
1042,Producto_42,Verduras,2026-05-14,Marca_42,33,-10
1043,Producto_43,Verduras,2026-09-02,Marca_43,103,-10
1044,Producto_44,Bebidas,2026-01-12,Marca_44,1,66
1045,Producto_45,Bebidas,2026-07-22,Marca_45,93,xyz
1046,Producto_46,Snacks,2026-06-13,Marca_46,-50,14
1047,,Snacks,2026-08-05,Marca_47,135,64
1048,Producto_48,Abarrotes,2026-04-08,Marca_48,-50,2
1049,Producto_49,Verduras,2026-04-08,Marca_49,174,-10
1050,Producto_50,Abarrotes,2026-05-04,Marca_50,29,-10
1051,Producto_51,Verduras,2026-04-18,Marca_51,abc,17
1001,Producto_52,Abarrotes,2026-10-03,Marca_52,50,52
1053,Producto_53,Lacteos,2026/99/99,Marca_53,152,11
1054,Producto_54,Lacteos,2026-02-26,Marca_54,abc,7
1055,Producto_55,Lacteos,2026-02-26,Marca_55,95,-10
1056,Producto_56,Verduras,2026-11-06,Marca_56,-50,24
1057,Producto_57,Bebidas,2026/99/99,Marca_57,36,11
1058,Producto_58,Frutas,2026-11-10,Marca_58,131,46
1059,,Snacks,2026-04-10,Marca_59,147,85
1060,Producto_60,Abarrotes,2026/99/99,Marca_60,193,18
1061,Producto_61,Snacks,2026-08-02,Marca_61,200,59
1062,Producto_62,Abarrotes,2026-04-18,Marca_62,120,xyz
1063,Producto_63,Abarrotes,2026-05-02,Marca_63,179,xyz
1064,Producto_64,Verduras,2026-07-18,Marca_64,abc,65
1065,Producto_65,Bebidas,2026-04-26,Marca_65,-50,9
1066,Producto_66,Frutas,2026-11-26,Marca_66,abc,27
1067,Producto_67,Abarrotes,2026-12-19,Marca_67,104,51
1068,Producto_68,Verduras,2026-08-10,Marca_68,161,71
1069,Producto_69,Lacteos,2026/99/99,Marca_69,133,21
1001,Producto_70,Snacks,2026-04-07,Marca_70,32,60
1071,Producto_71,Abarrotes,2026-07-17,Marca_71,-50,91
1072,Producto_72,Frutas,2026-01-10,Marca_72,abc,4
1001,Producto_73,Abarrotes,2026-10-12,Marca_73,167,74
1074,Producto_74,Verduras,2026-09-03,Marca_74,181,13
